iter	Passed	Remaining
1288	24326	13418
1289	24347	13400
1290	24364	13380
1291	24383	13361
1292	24401	13342
1293	24420	13323
1294	24438	13304
1295	24455	13284
1296	24472	13264
1297	24491	13245
1298	24510	13226
1299	24527	13207
1300	24544	13187
1301	24563	13168
1302	24582	13149
1303	24602	13131
1304	24620	13112
1305	24638	13092
1306	24655	13073
1307	24673	13053
1308	24692	13034
1309	24709	13014
1310	24727	12995
1311	24746	12976
1312	24764	12957
1313	24782	12937
1314	24799	12918
1315	24817	12898
1316	24836	12880
1317	24853	12860
1318	24872	12841
1319	24889	12821
1320	24907	12802
1321	24925	12783
1322	24942	12763
1323	24959	12743
1324	24977	12724
1325	24994	12704
1326	25014	12686
1327	25032	12667
1328	25050	12647
1329	25068	12628
1330	25086	12609
1331	25104	12590
1332	25121	12570
1333	25142	12552
1334	25160	12533
1335	25180	12514
1336	25199	12495
1337	25217	12477
1338	25236	12458
1339	25254	12438
1340	25271	12419
1341	25289	12399
1342	25307	12380
1343	25326	12361
1344	25343	12341
1345	25361	12322
1346	25379	12303
1347	25400	12285
1348	25417	12266
1349	25436	12247
1350	25453	12227
1351	25471	12208
1352	25488	12188
1353	25507	12169
1354	25527	12151
1355	25546	12132
1356	25563	12113
1357	25580	12093
1358	25599	12074
1359	25618	12055
1360	25634	12035
1361	25655	12017
1362	25673	11998
1363	25690	11978
1364	25707	11959
1365	25725	11940
1366	25744	11920
1367	25761	11901
1368	25779	11882
1369	25797	11863
1370	25815	11843
1371	25832	11824
1372	25852	11805
1373	25869	11786
1374	25887	11766
1375	25906	11748
1376	25925	11729
1377	25944	11710
1378	25961	11691
1379	25979	11672
1380	25999	11653
1381	26016	11634
1382	26035	11615
1383	26055	11597
1384	26074	11578
1385	26093	11559
1386	26111	11540
1387	26129	11521
1388	26149	11502
1389	26167	11483
1390	26184	11463
1391	26203	11445
1392	26222	11426
1393	26240	11407
1394	26259	11388
1395	26277	11369
1396	26296	11350
1397	26312	11330
1398	26331	11311
1399	26350	11293
1400	26370	11274
1401	26392	11257
1402	26411	11238
1403	26428	11218
1404	26448	11200
1405	26465	11181
1406	26485	11162
1407	26502	11143
1408	26521	11124
1409	26540	11105
1410	26558	11086
1411	26577	11067
1412	26596	11049
1413	26616	11030
1414	26634	11011
1415	26652	10992
1416	26668	10972
1417	26685	10952
1418	26704	10933
1419	26721	10914
1420	26739	10895
1421	26757	10876
1422	26776	10857
1423	26794	10838
1424	26812	10819
1425	26830	10799
1426	26847	10780
1427	26866	10761
1428	26886	10743
1429	26905	10724
1430	26924	10705
1431	26943	10687
1432	26962	10668
1433	26981	10649
1434	26998	10630
1435	27017	10611
1436	27034	10591
1437	27053	10572
1438	27072	10554
1439	27091	10535
1440	27110	10516
1441	27128	10497
1442	27146	10478
1443	27165	10459
1444	27182	10440
1445	27200	10421
1446	27219	10402
1447	27237	10383
1448	27256	10364
1449	27274	10345
1450	27292	10326
1451	27310	10307
1452	27327	10287
1453	27345	10268
1454	27362	10249
1455	27380	10229
1456	27398	10211
1457	27416	10191
1458	27435	10173
1459	27454	10154
1460	27471	10134
1461	27490	10116
1462	27508	10097
1463	27528	10078
1464	27545	10059
1465	27566	10041
1466	27583	10021
1467	27601	10002
1468	27618	9983
1469	27638	9964
1470	27655	9945
1471	27674	9926
1472	27691	9907
1473	27710	9888
1474	27728	9869
1475	27746	9850
1476	27764	9831
1477	27783	9812
1478	27802	9793
1479	27820	9774
1480	27841	9756
1481	27861	9738
1482	27880	9719
1483	27898	9700
1484	27915	9681
1485	27933	9662
1486	27952	9643
1487	27972	9625
1488	27991	9606
1489	28009	9586
1490	28027	9567
1491	28044	9548
1492	28063	9529
1493	28081	9510
1494	28100	9492
1495	28118	9473
1496	28136	9453
1497	28155	9435
1498	28172	9415
1499	28189	9396
1500	28207	9377
1501	28230	9360
1502	28250	9341
1503	28268	9322
1504	28287	9303
1505	28305	9284
1506	28324	9266
